Confirmation Number,Invitee Status,Original Response Date (GMT),Registration Type,Sessions (All)
,No Response,,,
CBN7JPZBVB8,Accepted,2024-04-26T14:13:43.000Z,Speaker-Staff,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
D4NMCQKB539,Accepted,2024-05-27T18:09:02.000Z,Member Full Conference Registration,"Dapaglifozin, Sacubitril, Ivabradine: Word Scrabble?! A Closer Look at New Heart Failure Therapies, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, No, I will not attend the Monday Night Event, Yes, I will attend the Opening General Session, It’s About Time: Impact of Vancomycin AUC Dosing on Patient Outcomes & Pharmacy Workflow, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Navigating Through Microbiology Changes That Impact Your Antimicrobial Stewardship Program, Yes, I will attend the Closing General Session"
HYNYJKKWDLJ,Accepted,2024-05-06T19:23:20.000Z,Member Full Conference Registration,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, No, I will not attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, No, I will not attend the Closing General Session"
QVNH7N7BZYG,Accepted,2024-05-07T17:12:13.000Z,Member Full Conference Registration,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
,Declined,2024-05-06T14:36:09.000Z,Member Full Conference Registration,
FXNLLCDTKH8,Accepted,2024-05-03T17:38:48.000Z,Staff Full Conference,"Innovation in Healthcare, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
33NX56QXL5G,Accepted,2024-05-06T19:20:01.000Z,HCA Member Full Conference,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
23NQ84VYKV3,Accepted,2024-05-07T18:54:26.000Z,Member Full Conference Registration,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, Considerations of Clinic Conversions to HODs for 340B Expansion Opportunities, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
BLND3SNP89Z,Accepted,2024-05-31T21:51:24.000Z,Member Full Conference Registration,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Unlocking the Vault: A Health System Odyssey on High-Cost Medications—Formulary Landscape, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
PTNKFDR2F78,Accepted,2024-05-30T13:36:41.000Z,Exhibitor Representative,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Yes, I will attend the Closing General Session"
5DNRJGB2Y39,Accepted,2024-05-06T20:40:55.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, No, I will not attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, No, I will not attend the Closing General Session"
2KN7MKYRL46,Accepted,2024-05-21T18:14:27.000Z,Member Full Conference Registration,"Value Analysis Journey: From Concept to Reality, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
BXNF4RYHRSQ,Accepted,2024-05-28T02:12:57.000Z,HCA Member Full Conference,"Innovation in Healthcare, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Leveraging Analytics to Unlock Value in PPI Implants, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, No, I will not attend the Closing General Session"
,No Response,,,
,No Response,,,
,No Response,,,
TJNQ2WLHY25,Accepted,2024-05-31T14:25:09.000Z,Member Full Conference Registration,"Dapaglifozin, Sacubitril, Ivabradine: Word Scrabble?! A Closer Look at New Heart Failure Therapies, Med ‘Wreck’ to Med Rec: Medication Reconciliation Quality Improvement & Program Development, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, It’s About Time: Impact of Vancomycin AUC Dosing on Patient Outcomes & Pharmacy Workflow, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Navigating Through Microbiology Changes That Impact Your Antimicrobial Stewardship Program, Yes, I will attend the Closing General Session"
W8NG2WDTVPH,Accepted,2024-05-06T16:09:55.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, No, I will not attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
2GN4DKFNZHZ,Accepted,2024-04-25T21:40:01.000Z,Complimentary Representatives,"Innovation in Healthcare, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
P9NWFGG774P,Accepted,2024-06-04T14:58:43.000Z,Exhibitor Representative,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, No, I will not attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
,No Response,,,
KTNVYM47RD4,Accepted,2024-05-21T19:20:08.000Z,Member Full Conference Registration,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,Visited,2024-04-25T23:40:51.000Z,,
,No Response,,,
T6NPCF9H62Y,Accepted,2024-05-22T23:53:54.000Z,HCA Member Full Conference,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
P3NL9DP9DXC,Accepted,2024-05-03T14:04:52.000Z,Member Full Conference Registration,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Leveraging Analytics to Unlock Value in PPI Implants, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
,No Response,,,
6DNMDT7NBW6,Accepted,2024-04-26T14:05:37.000Z,Conference Team,"Exhibit Hall & Reception, Exhibit Hall, Exhibit Hall & Reception"
3HNDGVTY7V3,Accepted,2024-04-26T13:26:24.000Z,Staff Conference Only Pass,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
NWNRJFRJWY4,Accepted,2024-05-21T11:29:17.000Z,Member Full Conference Registration,"Value Analysis Journey: From Concept to Reality, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, No, I will not attend the Monday Night Event, No, I will not attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, No, I will not attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, No, I will not attend the Closing General Session"
P8NFXZP2LC6,Accepted,2024-05-24T17:13:11.000Z,HCA Member Full Conference,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
,Visited,2024-05-02T15:02:31.000Z,,
SDNRDQT3H56,Accepted,2024-05-01T14:07:54.000Z,Member Full Conference Registration,"2024 Executive Pharmacy Exchange, Pump the Breaks: A Focus on Infusion Device Safety, Exhibit Hall & Reception, No, I will not attend the Monday Night Event, No, I will not attend the Opening General Session, Unlocking the Vault: A Health System Odyssey on High-Cost Medications—Formulary Landscape, Exhibit Hall, No, I will not attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, No, I will not attend the Closing General Session"
KLNMTZWR7WJ,Accepted,2024-05-07T12:09:32.000Z,Exhibitor Representative,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, No, I will not attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, No, I will not attend the Closing General Session"
7VNQWLR97NZ,Accepted,2024-04-25T23:56:23.000Z,Speaker - Member,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Unlocking the Vault: A Health System Odyssey on High-Cost Medications—Formulary Landscape, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
BKNRTQTDPHJ,Accepted,2024-04-26T16:27:51.000Z,HCA Member Full Conference,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, No, I will not attend the Closing General Session"
6KNQQRM3J3Y,Accepted,2024-04-29T19:05:52.000Z,Staff Conference Only Pass,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
5RNT5VMBTBC,Accepted,2024-05-10T13:46:10.000Z,Member Full Conference Registration,"Value Analysis Journey: From Concept to Reality, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
2KN87W4LNHJ,Accepted,2024-05-24T14:02:29.000Z,Conference-Only Pass,"Innovation in Healthcare, Pump the Breaks: A Focus on Infusion Device Safety, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,Visited,2024-05-20T20:57:59.000Z,,
8ZNT9YRNX9C,Accepted,2024-04-26T14:13:49.000Z,Member Full Conference Registration,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
FJN2GTVL4DQ,Accepted,2024-04-29T17:42:28.000Z,Staff Full Conference,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
,Visited,2024-05-17T18:42:31.000Z,,
H2NQ8KLRZQS,Accepted,2024-04-30T21:42:23.000Z,Staff Conference Only Pass,"2024 Executive Pharmacy Exchange, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, No, I will not attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
TZNDY6QTKSP,Accepted,2024-05-08T15:18:15.000Z,Member Full Conference Registration,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
,Declined,2024-06-03T11:27:50.000Z,Member Full Conference Registration,
LDNKTLJDT5M,Accepted,2024-05-24T02:34:21.000Z,HCA Conference Only Pass,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
MKN5YCXYQXQ,Accepted,2024-05-06T18:47:55.000Z,Speaker - Member,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, No, I will not attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Accelerating Value by Resetting the Key Fundamentals, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, Pharmacy Technicians on Backorder: A Combination Approach to Combat Your Technician Shortages, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
YPNK5659WNX,Accepted,2024-05-29T16:30:29.000Z,Complimentary Representatives,"Tech Humanist: How to Make Technology Better for Business & Better for Humans, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Yes, I will attend the Closing General Session"
,No Response,,,
8MNPHVDC55H,Accepted,2024-04-25T21:58:36.000Z,HCA Member Full Conference,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Unlocking the Vault: A Health System Odyssey on High-Cost Medications—Formulary Landscape, Exhibit Hall, Yes, I will attend the Afternoon General Session, Money Hunt—Finding Savings & Revenue by Looking Through a “System” Lens, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
ZBNDS94BT5P,Accepted,2024-05-16T18:46:54.000Z,Member Full Conference Registration,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, 340B In The Field, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, Considerations of Clinic Conversions to HODs for 340B Expansion Opportunities, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
TYNWNT5FJ37,Accepted,2024-04-29T15:42:26.000Z,Member Full Conference Registration,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
